Unsaved report,,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,,
Day,Campaign, Clicks , Impressions , Cost , Avg. position , Conversions ,Search Impr. share,index
1/12/2019,Croud_Google_GDN_In Home_Membership Remarketing,5,1561,21,1,0,0,261
1/12/2019,Croud_Google_GDN_In Home_Re-marketing,19,5446,16,1,0,0,262
1/12/2019,Google - Brand - Corporate - Brand,1,2,5,1,0,66.67%,263
1/13/2019,Google - Generic - Corporate - Competitor,0,23,0,4,0,10.75%,264
1/13/2019,Google - Generic - Therapist - CA,0,16,0,3,0,72.73%,265
1/13/2019,Google - Generic - Geo Keywords - Massage,236,9032,228,3,3,21.35%,266
1/13/2019,Google - Generic - Massage - SKAG - National,98,3226,91,3,1,10%,267
1/13/2019,Google - Generic - Massage Types,69,2126,84,3,1,31.09%,268
1/13/2019,Google - Generic - DSA,152,1287,30,3,0,10%,269
1/13/2019,Google - Generic - Massage - Core - National,177,3396,408,2,4,24.72%,270
1/13/2019,Google - Generic - Competitors,61,2016,101,2,1,18.22%,271
1/13/2019,Google - Generic - Corporate - Massage,15,913,56,2,0,34.75%,272
1/13/2019,Google - Generic - Masseuse,11,450,29,2,0,76.53%,273
1/13/2019,Google - UAC - In Home - Android,181,6143,28,2,39,10%,274
1/13/2019,Google - Generic - In Home - Competitors Reme,1,12,4,2,0,85.71%,275
1/13/2019,Google - Generic - Therapist - US,1,14,1,2,0,37.84%,276
1/13/2019,Google - Generic - In Home - Massage Home Modifier - National,249,2939,900,1,12,82.14%,277
1/13/2019,Google - Brand - Core - SKAG,133,678,176,1,16,100.00%,278
1/13/2019,Google - Brand - Extra Tokens,58,369,108,1,6,40.73%,279
1/13/2019,Google - Generic - Google Play - App,12,88,43,1,1,100.00%,280
1/13/2019,Croud_Google_GDN_In Home_Membership Remarketing,8,2933,24,1,0,0,281
1/13/2019,Croud_Google_GDN_In Home_Re-marketing,17,5316,20,1,0,0,282
1/13/2019,Croud_Google_GDN_In Home_Re-engagement,4,2593,19,1,0,0,283
