,# ----------------------------------------,,,,,,,,
,# www.zeel.com,,,,,,,,
,# New Custom Report,,,,,,,,
,# 20190726-20190824,,,,,,,,
,# ----------------------------------------,,,,,,,,
,,,,,,,,,
Index,Age,Affinity Category (reach),Gender,Region,Device Category,Sessions,Avg. Session Duration,Pages / Session,All 5 Flow Conversions
132,25-34,Technology/Mobile Enthusiasts,female,California,desktop,529,0:04:30,6.12,10
133,25-34,Media & Entertainment/Movie Lovers,female,California,mobile,527,0:01:38,4.16,8
134,25-34,Lifestyles & Hobbies/Shutterbugs,female,New York,desktop,517,0:05:04,5.22,18
135,25-34,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,female,California,desktop,515,0:02:56,6.07,17
136,35-44,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,male,California,desktop,512,0:02:02,5.5,7
137,35-44,Vehicles & Transportation/Auto Enthusiasts,male,California,desktop,508,0:02:35,5.36,10
138,25-34,Travel/Travel Buffs/Beachbound Travelers,female,New York,desktop,507,0:04:21,5.2,20
139,35-44,Lifestyles & Hobbies/Shutterbugs,male,California,desktop,507,0:02:26,5.7,15
140,35-44,Beauty & Wellness/Frequently Visits Salons,female,California,desktop,505,0:04:45,6.32,15
141,25-34,Lifestyles & Hobbies/Art & Theater Aficionados,female,California,mobile,501,0:01:41,3.84,7
142,35-44,Sports & Fitness/Sports Fans,male,California,desktop,497,0:02:14,5.22,11
143,25-34,Lifestyles & Hobbies/Family-Focused,female,New York,desktop,491,0:03:39,5.32,17
144,25-34,Media & Entertainment/Book Lovers,female,New York,desktop,491,0:04:16,5.52,16
145,35-44,Lifestyles & Hobbies/Frequently Attends Live Events,female,California,desktop,491,0:04:42,5.9,16
146,25-34,Shoppers/Bargain Hunters,female,New York,desktop,489,0:04:22,5.38,22
147,25-34,Shoppers/Value Shoppers,male,California,mobile,487,0:01:48,3.86,13
148,35-44,Home & Garden/Do-It-Yourselfers,male,California,desktop,487,0:02:14,5.44,9
149,25-34,Lifestyles & Hobbies/Nightlife Enthusiasts,male,New York,desktop,486,0:03:06,4.94,8
150,35-44,Shoppers/Value Shoppers,female,California,mobile,486,0:01:56,3.95,17
151,35-44,Technology/Technophiles,male,California,mobile,486,0:01:36,3.5,5
152,25-34,Shoppers/Value Shoppers,female,New York,mobile,483,0:01:38,2.98,6
153,35-44,Lifestyles & Hobbies/Outdoor Enthusiasts,male,California,desktop,483,0:02:29,5.51,11
154,35-44,Shoppers/Luxury Shoppers,male,California,desktop,482,0:02:11,5.3,7
155,25-34,Media & Entertainment/Movie Lovers,male,California,mobile,481,0:01:55,3.73,15
156,25-34,Media & Entertainment/Music Lovers/Pop Music Fans,female,California,desktop,476,0:04:44,5.83,13
157,25-34,Travel/Travel Buffs,female,California,mobile,476,0:01:53,3.87,12
158,35-44,Sports & Fitness/Sports Fans,male,California,mobile,474,0:01:20,3.36,4
159,25-34,Sports & Fitness/Sports Fans,male,New York,desktop,471,0:03:52,5.31,12
160,35-44,Lifestyles & Hobbies/Family-Focused,female,California,mobile,469,0:01:54,3.91,15
161,25-34,Media & Entertainment/Music Lovers,male,New York,desktop,466,0:03:17,5.12,7
162,25-34,Technology/Technophiles,male,California,mobile,466,0:01:50,3.8,14
163,25-34,Media & Entertainment/Music Lovers,female,California,mobile,465,0:01:46,3.78,7
164,25-34,Lifestyles & Hobbies/Fashionistas,female,California,mobile,464,0:01:54,4.27,14
165,45-54,Lifestyles & Hobbies/Business Professionals,male,California,desktop,464,0:02:32,5.33,12
166,35-44,Shoppers/Shopaholics,female,California,desktop,458,0:04:29,5.74,22
167,35-44,Media & Entertainment/Movie Lovers,male,California,mobile,456,0:01:33,3.37,8
168,25-34,Shoppers/Shoppers by Store Type/Department Store Shoppers,male,California,desktop,454,0:03:23,6.04,13
169,25-34,Food & Dining/Foodies,female,New York,mobile,453,0:01:38,3.01,4
170,25-34,Sports & Fitness/Sports Fans,female,California,desktop,453,0:04:37,6.61,12
171,25-34,Media & Entertainment/Movie Lovers,female,New York,mobile,451,0:01:27,2.82,4
172,25-34,Media & Entertainment/Music Lovers/Pop Music Fans,female,New York,desktop,451,0:04:12,5.49,20
173,25-34,Media & Entertainment/Light TV Viewers,male,New York,desktop,450,0:02:59,4.75,8
174,25-34,Food & Dining/Fast Food Cravers,male,California,desktop,447,0:03:55,5.19,7
175,25-34,Food & Dining/Coffee Shop Regulars,female,New York,mobile,445,0:01:39,3.09,4
176,25-34,Food & Dining/Foodies,male,New York,desktop,445,0:03:04,5.37,9
177,25-34,News & Politics/Avid News Readers,female,California,desktop,444,0:03:23,6.55,13
178,35-44,Shoppers/Value Shoppers,female,New York,mobile,444,0:01:35,3.31,10
179,25-34,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,male,New York,desktop,443,0:02:32,4.44,8
180,25-34,Lifestyles & Hobbies/Fashionistas,female,New York,mobile,443,0:01:39,3.03,4
181,25-34,Shoppers/Luxury Shoppers,male,New York,desktop,443,0:02:52,5.15,12
182,25-34,Shoppers/Value Shoppers,female,Texas,mobile,443,0:01:25,3.8,13
183,35-44,Food & Dining/Coffee Shop Regulars,male,California,desktop,443,0:02:15,5.81,7
184,35-44,News & Politics/Avid News Readers,male,California,desktop,443,0:02:28,6.02,14
185,35-44,Media & Entertainment/Music Lovers,male,California,desktop,441,0:02:05,4.95,8
186,25-34,Food & Dining/Coffee Shop Regulars,female,California,mobile,440,0:01:34,4.03,7
187,25-34,Lifestyles & Hobbies/Art & Theater Aficionados,female,New York,mobile,440,0:01:35,2.98,5
188,25-34,Technology/Social Media Enthusiasts,female,California,desktop,435,0:05:46,5.51,8
189,35-44,Banking & Finance/Avid Investors,male,California,mobile,433,0:01:45,3.52,4
190,25-34,Lifestyles & Hobbies/Fashionistas,male,California,desktop,432,0:03:45,6.32,12
191,25-34,Media & Entertainment/Music Lovers,male,California,mobile,432,0:01:55,3.67,12
192,35-44,Home & Garden/Home Decor Enthusiasts,female,California,desktop,432,0:03:27,5.75,15
193,35-44,Lifestyles & Hobbies/Green Living Enthusiasts,female,California,desktop,432,0:03:45,5.83,16
194,35-44,Lifestyles & Hobbies/Family-Focused,female,New York,mobile,428,0:01:37,3.28,10
195,35-44,Shoppers/Value Shoppers,female,Texas,mobile,428,0:02:04,3.88,7
196,25-34,Technology/Technophiles,female,California,mobile,420,0:01:44,4.07,12
197,25-34,Lifestyles & Hobbies/Green Living Enthusiasts,male,New York,desktop,417,0:04:41,5.26,10
198,25-34,News & Politics/Avid News Readers/Avid Business News Readers,male,California,desktop,417,0:02:41,5.72,11
199,25-34,Travel/Travel Buffs,female,New York,mobile,417,0:02:01,3.21,7
200,45-54,Banking & Finance/Avid Investors,male,California,desktop,416,0:02:31,5.12,10
201,25-34,Sports & Fitness/Sports Fans,male,California,mobile,413,0:01:41,3.53,10
202,35-44,Lifestyles & Hobbies/Business Professionals,male,New York,mobile,413,0:01:36,3.38,15
203,35-44,Travel/Travel Buffs,female,California,mobile,413,0:02:06,4.09,16
204,25-34,Media & Entertainment/Comics & Animation Fans,female,California,desktop,412,0:04:00,7.01,12
205,45-54,Travel/Travel Buffs,female,California,desktop,412,0:04:44,5.6,9
206,25-34,Technology/Mobile Enthusiasts,female,New York,desktop,411,0:04:13,5.33,20
